"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 01, 2019","26,797.46","26,198.26","26,860.87","25,978.22","892.30M","1.49%"
"Aug 25, 2019","26,403.28","25,826.05","26,514.62","25,637.43","1.12B","3.02%"
"Aug 18, 2019","25,628.90","26,020.06","26,388.78","25,507.18","1.29B","-0.99%"
"Aug 11, 2019","25,886.01","26,169.91","26,426.97","25,339.60","1.48B","-1.53%"
"Aug 04, 2019","26,287.44","26,259.23","26,413.36","25,440.39","1.62B","-0.75%"
"Jul 28, 2019","26,485.01","27,192.24","27,281.65","26,249.22","1.67B","-2.60%"
"Jul 21, 2019","27,192.45","27,174.18","27,368.81","27,062.48","1.21B","0.14%"
"Jul 14, 2019","27,154.20","27,364.69","27,398.68","27,068.79","1.13B","-0.65%"
"Jul 07, 2019","27,332.03","26,835.64","27,333.79","26,665.57","1.14B","1.52%"
"Jun 30, 2019","26,922.12","26,805.86","26,966.00","26,616.21","846.63M","1.21%"
"Jun 23, 2019","26,599.96","26,727.61","26,806.52","26,465.32","1.54B","-0.45%"
"Jun 16, 2019","26,719.13","26,108.53","26,907.37","26,049.80","1.48B","2.41%"
"Jun 09, 2019","26,089.61","26,090.22","26,248.67","25,958.66","1.15B","0.41%"
"Jun 02, 2019","25,983.94","24,830.16","26,072.75","24,680.57","1.38B","4.71%"
"May 26, 2019","24,815.04","25,616.55","25,717.63","24,809.51","1.17B","-3.01%"
"May 19, 2019","25,585.69","25,655.31","25,898.27","25,328.09","1.30B","-0.69%"
"May 12, 2019","25,764.00","25,568.06","25,957.63","25,222.51","1.53B","-0.69%"
"May 05, 2019","25,942.37","26,160.62","26,476.27","25,469.86","1.52B","-2.12%"
"Apr 28, 2019","26,504.95","26,559.87","26,689.39","26,180.36","1.46B","-0.14%"
"Apr 21, 2019","26,543.33","26,510.77","26,695.96","26,310.28","1.44B","-0.06%"
"Apr 14, 2019","26,559.54","26,407.76","26,602.42","26,316.42","1.25B","0.56%"
"Apr 07, 2019","26,412.30","26,312.67","26,436.68","26,062.59","1.26B","-0.05%"
"Mar 31, 2019","26,424.99","26,075.10","26,487.57","26,071.69","1.28B","1.91%"
"Mar 24, 2019","25,928.68","25,490.72","25,949.32","25,372.26","1.42B","1.67%"
"Mar 17, 2019","25,502.32","25,801.88","26,109.68","25,501.45","1.69B","-1.34%"
"Mar 10, 2019","25,848.87","25,208.00","25,927.91","25,208.00","1.87B","1.57%"
"Mar 03, 2019","25,450.24","26,122.19","26,155.98","25,252.46","1.36B","-2.21%"
"Feb 24, 2019","26,026.32","26,126.15","26,241.42","25,877.24","1.42B","-0.02%"
"Feb 17, 2019","26,031.81","25,849.85","26,052.90","25,762.21","1.10B","0.57%"
"Feb 10, 2019","25,883.25","25,142.81","25,883.72","25,009.10","1.42B","3.09%"
"Feb 03, 2019","25,106.33","25,062.12","25,439.04","24,883.04","1.40B","0.17%"
"Jan 27, 2019","25,063.89","24,596.98","25,193.15","24,323.94","1.95B","1.32%"
"Jan 20, 2019","24,737.20","24,607.76","24,860.15","24,244.31","1.35B","0.12%"
"Jan 13, 2019","24,706.35","23,880.53","24,750.22","23,765.24","1.53B","2.96%"
"Jan 06, 2019","23,995.95","23,474.26","24,014.78","23,301.59","1.58B","2.40%"
"Dec 30, 2018","23,433.16","23,153.94","23,518.64","22,638.41","1.43B","1.61%"
"Dec 23, 2018","23,062.40","22,317.28","23,381.88","21,712.53","1.49B","2.75%"
"Dec 16, 2018","22,445.37","23,986.83","24,088.08","22,396.34","2.86B","-6.87%"
"Dec 09, 2018","24,100.51","24,360.95","24,828.29","23,881.37","1.79B","-1.18%"
"Dec 02, 2018","24,388.95","25,779.57","25,980.21","24,242.22","1.68B","-4.50%"
"Nov 25, 2018","25,538.46","24,364.13","25,549.71","24,364.13","1.76B","5.16%"
"Nov 18, 2018","24,285.95","25,392.61","25,392.61","24,268.74","1.25B","-4.44%"
"Nov 11, 2018","25,413.22","25,959.33","25,966.71","24,787.79","1.82B","-2.22%"
"Nov 04, 2018","25,989.30","25,261.47","26,277.82","25,261.47","1.58B","2.84%"
"Oct 28, 2018","25,270.83","24,818.98","25,578.98","24,122.23","2.18B","2.36%"
"Oct 21, 2018","24,688.31","25,492.14","25,561.34","24,445.19","2.19B","-2.97%"
"Oct 14, 2018","25,444.34","25,332.46","25,817.68","25,236.01","1.57B","0.41%"
"Oct 07, 2018","25,339.99","26,399.45","26,539.94","24,899.77","1.91B","-4.19%"
"Sep 30, 2018","26,447.05","26,598.36","26,951.81","26,301.81","1.33B","-0.04%"
"Sep 23, 2018","26,458.31","26,705.25","26,709.94","26,349.34","1.24B","-1.07%"
"Sep 16, 2018","26,743.50","26,151.66","26,769.16","26,030.35","1.64B","2.25%"
"Sep 09, 2018","26,154.67","25,991.91","26,211.11","25,754.32","1.29B","0.92%"
"Sep 02, 2018","25,916.54","25,916.07","26,073.68","25,805.95","1.09B","-0.19%"
