DATE,MANMM101AUQ189S
2017-10-01,855900000000.0
2018-01-01,869400000000.0
2018-04-01,870600000000.0
2018-07-01,866000000000.0
2018-10-01,878100000000.0
2019-01-01,887800000000.0
2019-04-01,909400000000.0
2019-07-01,1032200000000.0
2019-10-01,1074200000000.0
2020-01-01,1191200000000.0
2020-04-01,1262200000000.0
2020-07-01,1307500000000.0
